frame,time,id,len,b0,b1,b2,b3,b4,b5,b6,b7
200,29307,0x0A7,8,3E,E6,BF,FF,FE,FB,EF,9F
201,29307,0x0A8,8,67,E6,DF,BF,FF,00,00,00
201,29307,0x0A8,8,67,E6,DF,BF,FF,00,00,00
202,29309,0x0AF,4,83,72,43,01,F0,03,00,00
202,29309,0x0AF,4,83,72,43,01,F0,03,00,00
203,29313,0x0AD,8,35,E7,BF,FF,00,14,00,00
203,29313,0x0AD,8,35,E7,BF,FF,00,14,00,00
204,29313,0x0AE,8,98,07,00,00,47,00,00,02
204,29313,0x0AE,8,98,07,00,00,47,00,00,02
205,29317,0x0A8,8,72,E7,DF,BF,FF,00,00,00
205,29317,0x0A8,8,72,E7,DF,BF,FF,00,00,00
206,29317,0x0A7,8,B7,E7,BF,FF,FE,FB,EF,9F
206,29317,0x0A7,8,B7,E7,BF,FF,FE,FB,EF,9F
207,29319,0x0AF,4,83,73,43,01,00,00,00,00
207,29319,0x0AF,4,83,73,43,01,00,00,00,00
208,29323,0x0AD,8,A2,E8,BF,FF,00,14,00,00
208,29323,0x0AD,8,A2,E8,BF,FF,00,14,00,00
209,29323,0x0AE,8,26,08,00,00,48,00,00,02
209,29323,0x0AE,8,26,08,00,00,48,00,00,02
210,29327,0x0A7,8,FA,E8,BF,FF,FE,FB,EF,9F
210,29327,0x0A7,8,FA,E8,BF,FF,FE,FB,EF,9F
211,29327,0x0A8,8,50,E8,DF,BF,FF,00,00,00
